video_id,transcript,doc_length,lexical_diversity
AtMPU-tiTbY,buying rust think theyre house crazy man woo got whole lot oh oh god gonna something thats probably suicidal gonna prone way house ready whole fucking way go journey six hour game time still havent gotten kill oh man yo yo first game believe went kill death first game played went trying prone way blue house there chance gonna make wish luck boy living almost year man year know dot month celebrated one year streaming donation thats amazing man gotta thank know thank guy yeah seven day week find schedule variety caster literally stream everything lately streaming game fucking love man like thing streaming lately yes full time caster variety caster play lot different game man cant believe still alive way yo almost house man almost almost made dude guy could follow facebook twitter youtube link right chat man would love give anyone follows guy really really appreciate thank follow man welcome turtle gang homie look like u train gone yeah yeah pain camped oh tried tried whats man yes sir give one like infiltrating fucking oh idea either oh gonna fuck get kill watch man gonna fuck get kill dude man corn field house got getting close alright house right front u game time ready guy worked gonna put automatic gonna go fucking crazy oh got three shot burst thats interesting alright go go dun dun oh someone see id upset oh god oh god dun dun dude still alive fuck dun dun cant believe made blue house man inside bitch hear inside boy killed four house repeat four killed house whats whats motherfucker house fucking house bunk bed right get fuck impossible completed boy remember day remember day,280,0.5214285714285715
AuDVV-xJWcQ,next g grow investment past active income income intended able create space income cover need investment saving time okay able create opportunity investment right careful say oh income increase increase knee mean go want right purpose active income provide resource make financially free purpose active income provide resource make financially free time switch table time grow investment actively past active income make use growth defensive investment growth invest growth investment time begin overtake active income course take time lot debt never add exit pay negotiate debt necessary balance position clear since liability let accrue beyond capacity pay bad debt reduce probability getting good debt need distraction impediment financial freedom tell friend tell teach tell started new journey might choose follow time buying drink guy boy bar might might buy drink company walk path financial freedom would rather buy company buy product time freebie might time go discipline make financially free okay might also lucky might want walk path reason one rich man midst six jolly friend next jolly poor friend next poor guy use simple many tried many people used possible want financial freedom follow six step way greater tomorrow,190,0.5894736842105263
AzmfZ-sXV44,british accent bottle water harry potter professor shut shut shut shut shut theyre missing see right little crack theyre missing dont worry alright gotta get trouble oh falling whats name whats name name brad jeannie justin young name moo moo okay okay redo final final sorry sorry sorry sorry sorry sorry sorry sorry sorry gonna afraid know,57,0.631578947368421
BGoJe-8HuSM,live see need unplug microphone maybe rip maybe think might need put break time need unplug microphone silly might pull power switch could help want coach come tell know hear son cant like looking live looking live could still hear talking cant remember probably cant make another way open person court thats let go get cause got signature like press x throw open person court team right man bit say theyre retiring okay made bullet passing oh one glitchy quartz ooh hate one glitchy corpse ooh hate corpse wiped brother got double double sure sir hall fame hall fame mouse mouse oh crap bad ooh jumped hey streaming like super loud literally put another room jesus oh oh came caught one matter got made oh got pull cool cool thats cool shit excuse language trying play game gonna distract shit got nine eight point got two bumped man bumped wow seen gonna make uh animation smile like thats new rebirth spot mean obesity yeah thats cant wait get like ring ring game set straight line oh see thought one trick dont follow dont follow keep jumping face keep high let pound man got beat man content hey one man aint playing another man oh playing okay oh yeah took zone though yeah cant get smack distract smack phone mean smack mean mean say hello boy got ball pas ball pas ball press l l call defense hold l everyone pas draw thats saying come man come little dont even wanna come told kept telling pas could see lighting motherfucker cant shoot thats man hmm watching jumped first thought might jumped wait else aint way aint way wanna log got bow hmm oh man oh man jesus thats go get red go bang red saying took worry mom,297,0.5555555555555556
BOsUa-R4Bv4,alright here video chevy volt chevrolet volt inventory gonna show closeup driver side view alloy wheel road rash tire appears great condition theyre gonna walk around port plug front right right rear tire driver side plenty tread road rash well taken care previous owner rear vehicle okay kind walking around car open gonna open little bit let see inside let see back back gonna open rear thats charger rear charging cord wheel okay well taken care previous owner see clean vehicle inside well maintained close rear gonna take around passenger side here passenger side gonna thing wheel show show close vehicle looked like garage kept previous owner dont see major scratch dent ding passenger side showing along side vehicle coming back around front front vehicle clean unique gonna go inside show inside vehicle see rear seat area pocket back seat back seat cup holder right middle power outlet right okay ill show inside right power mirror power lock inside power button glove box parking brake mile car well maintained previous owner nice car name curtis cup course center console another power outlet id like thank much allowing assist ford thank much allowing curtis assist close mile thank great day,199,0.5175879396984925
BQUGB-D6P1c,dont know guy really like playing video game know person man internet also like playing video game shocking tell title going one monthly favorite video usually think people random stuff buy beauty product stuff like prefer spend money thing actually bring hour fun aka video game sometimes free thats even better let jump right talk obvious screen already made video good old realm royale realm royale first appeared guess june right early access playing game since alpha would awesome people tried game mean free really dont anything lose also think forgot mention battle royale game fantasy themed turn chicken die yeah check right next game game started play week maybe even two week ago barely made onto list month make called slay spire must admit watching game watching trailer game kind look bit bad also boring decided give try anyway positively surprised think fun game would always describe sort like card game mixed together like card game might game one actually came rd january sure trying learn people would helpful player goal stop different map talent tree quest even though sort really repetitive feel like progressing think really fun day want play hour take mind stuff especially people want play horror game think would good game try thats top three game january wish world warcraft list sadly gone downhill game two game want mention also played hearthstone hearthstone bit random moment hope thats gonna get better still play occasionally league legend league legend make mad fun well suggestion game definitely try let know open trying almost everything maybe end next month favorite let know favorite game month favorite game general bonus point realm royale,274,0.6131386861313869
BQfJS-R8yIo,well welcome goddamn channel man see caption rib woman got biggest pimp building oh oh god hey know heaven deeply love heaven saying live saying online dont give fuck see got new bitch new bitch aint better old bitch old bitch name aint talking right last bitch last bitch recently wasnt really cheated five year shit dont even count wouldnt even say cheated motherfucker pimping lot beat every bitch know saying hey aint break none shit think somebody yeah right see see yeah come look let tell something every dish love either composed aint see like oh like oh yeah done couple bitch leave done wrong saying dont give fuck every bitch ran across cannot say aint learn nothing new pimp hoe show bitch cook heaven show bitch person even though fucking show get cheated get show prepare next every hoe always fed hoe four bitch one time imagine much money yeah yeah hey man funny hell look like heaven bitch work king diamond dont know strip club got fat as dont know ah know ah as man funny hell boy love hispanic woman much see mean sierra much ebay huh shit trying trying land senior house look like like get elite right moving aint got gun yet fool got gun oh shit let get let get leave hear got damn thing right come door huh crazy ill try tell game saw talking something id knowing youd knowing get work get work aint traffic trash anyway got lot hand gonna lie right right right look bitch mama bag stupid revolve talking phone block block okay right god damn cant get motherfucking as random like thats crazy shit done making oh oh start bit bit long tried even dont follow step fucking yeah probably watching video need fair bit bleach yeah really like hispanic beach guess kill man come game damn hey bos real shit yeah gonna kill yeah shit come hell thought come thought two top shit shielding damn shit counter getting run nothing aint lot fun shit came trying shield thing trying,343,0.5043731778425656
BULDL-56U5s,normal classic e opening still waiting opponent open opening question opponent opening classic e opening let see respond okay great play normal opening also go thing he high rating definitely game one make sure slacking anywhere okay let go yet gonna yep exchange robbery go next change notice double pawn double point good chess double point put open position normal taste pain gonna casting side guy opponent ill let capture take take take take yup go time running try much effective gonna capture go time hell put pin go first place probably go threaten bishop also get exchange catch one right way threaten back lost dont anywhere go forced also come back normal classic escape night okay take take classic probably gonna move visual clear leaf guy vulnerable side vulnerable good pose good move ill let take ill play night get foot way push push push take back going hiding serious trouble right open within base somethings gonna lose yeah horrible game feel horrible one like mucky checkmate right play want fun one dont understand oh whoa happened dont understand happened brilliant game played flanders got point back wow one nicest never give end game see testimony see stick oh great game enjoy look pretty bad okay,207,0.5700483091787439
BWqAY-2vFtg,wanna take never let take crown pocket plus right youtube three caleb reacts already know got u back got adam eve pushup cream boy havent heard pushup cream he tampa artist man go ahead get man make boy got gasping ready vibe okay hold hold running back hold push hold push right bag oh oh goodness go might gotta stand bitch oh yeah vibe okay okay okay rocking away boy pus back shes gonna beat forbidden fruit cant let go cant let go okay get let show cant let go fruit hey boy pushing mask rod fuck oh lord oh lord need one get okay okay pushup motherfucking boy hit oh got hit oh god oh god boy fuck bitch boy check link description take original video check music man one god hey boy fuck make boy leave like drop comment want react next subscribe new man sub way hip k reaction bitch man peace,155,0.5741935483870968
BbHjp-N1t0s,hi kid steve kathy texas going take minute time hopefully little informative little fun want take something thats important right weve got john wayne duke protecting price look price guy discounted guy ill bet thats lowest price give quick preview first thing want show got new generator x model designed run three air conditioner one time instead energy management system use run two said run three one time look encased tubular steel winnebago famous steel superstructure treat whole cab area like nascar safety first air chuck need blow tire beach ball thing also look real nice big windshield two thing great viewing also notice mounted like car okay glued cheap gasket like many competition gonna walk back around front also standard gonna side video camera nice dont dead spot around freight liner lower center gravity add better ride maneuverability lot storage come standard solid aluminum wheel puzzle wonder many beer can sacrifice life make weve got solid aluminum wheel way around tag axle come standard inch michelin tire move around also get free decor kit amazing price want show one time probably best country right said one advantage maxim chassis storage stability lower center gravity time thats bad got plenty room stuff also little beer cooler becomes standard little refrigerator slash freezer used said tag axle automatic tag axle mean push button computer tell need raised lowered needed horsepower transmission also full body paint beautiful gray tan burgundy take week one painted put paint polish thing dallas cowboy cheerleader north call spread cockpit efficient whole unit basically operated right also come rand system tool map destination choice fingertip tell go country amenity come extremely luxurious seating cockpit area nothing best journey winnebago product come extendable little computer table read magazine work computer relax also little footstool guy u baby boomer little missus gonna want proper feed want foot better careful might start something cant finish also come amazing secondary heating source beautiful fireplace used heat atmosphere bring large flat screen behind great place hide good stuff dont know bring house home great place hide good stuff pan around captain chair moved kitchen also living area also electric rest easy used seating area also make huge bed sleep two three adult comfortably weve got kind cherry glazed wood treatment nice theyre style ton room kitchen whoever cooking expandable recess back counter want convection microwave nice well swing back around little dinette area also included two chair entertaining four people going pan back around give living area gorgeous basically wall slide two slide give tremendous amount room lot area live entertain also include full residential grade refrigerator freezer combo unit numerous gel cell battery inverter kind power failure going somewhere hour hour also come half bath option give lot room taking care business back tremendous amount closet space call word closet going utilized stuff shes anything like like wife ill storage area tupperware tub stuff shes going take clothes whatnot also bed electric advantage electric great sitting reading watching relaxing snore get tired wife sucker punching rib night raise bed also air mattress great adjust either side bed come huge master bath porcelain toilet full washer dryer large vanity area mirror lot cabinet space huge shower little missus sit shower shave luxuriate exfoliate want give lot room relax enjoy lifestyle also include beautiful porcelain flooring easy clean take care look back forward beautiful floor plan lot room entertain also lot enjoy want go want know try little fun see take business seriously come guy right dont like make fun like make affordable easy experience thats lifestyle thats one reason weve business year anything make customer experience enjoyable cost effective help anything contact steve kathy texas ill happy help price last long unit available ask steve kathy texas ill happy assist great day,630,0.573015873015873
BbdPk-3-gLc,side like dimple waving like dribble water brought always keep simple much simple could alter level credential stay love em fuck em like phallic symbol alter ego flow zero he hometown hero cleo hood show love cause reckless really although gangsta still calling said got rack rack rack tim steady working got track track track whats word huh,58,0.8103448275862069
BdKSw-2hdtw,yeah know gotta got jean fuck break wing come bank like fuck milk bean quit one promising know girl owe really jogging dont even give fuck digging dont even know wanna fuck hey got couple friend talking bout wanna come let wanna spend night last night pussy tight right know like candy girl came handy lick like candy fuck white stuff call andy like toy story thats worth woody nah playing call woody easy alright every time girl say mind aint never mind saying hoe like jody beck paint big picture flip word stuck hold back whoa done,98,0.7551020408163265
BdixE-GFRxE,mother duckling pick use breast shotgun follow fuse v pattern right formation boy diamond diamond diamond work imagine get spawn people hell guy come baby want crouch maybe mean gonna make much difference vinny little f looking turned around looked back like trying wave thing austin look back look back look back behind vincent yeah gotta make sure got fresh oxygen alright single file boy single file oh god damon keep going point pull killed son bitch ryan know get mean know get know get dont know oh there vault alright love buddy bye love buddy smoke another room people oh ryan careful shit heard heard footstep like fucking going like teammate name sped bed accurate mean vigil name excellent dyslexic oh god yeah see tonight beer gonna watch crack today boy may would one hit got lucky take many smoke flash possible bombard objective stay right whenever preparation thats stay yes soon preparation phase stop moving get barricade get get get get ill reinforce moving got stuck room oh boy bang right good trying put deployable shield stuck corner uh corner see got keg got flour got bucket need got tomato soup got see right thats bucket thats pee bucket thats friend billy he ad protects explosive stuff got sack potato got another keg whole bunch keg bucket know chilling right ac never get hot well thats issue uh well see ah ash peeked hatch like hello oh ceiling got oh gonna get cant go kill doc vincent kill doc trying trying give fucking second fuck fuck follow oh shit aw shit austin look little stuck aw fuck austin oh step si well listen there one way know way wide open arm barricade room must open everything must open boy reinforcement watch wheres hatch alright boy gotta win think cracked fucking picked shotgun downed fucking sniped okay say downed dude fucking sniped as look table destroyed see table destroyed right yes see table putting table swing everywhere let watch look see table right boom hey anyway thats table fucking vigil vince watch way ill see get play ah sh fuck vigil coming noah noah he room nice nice thank lord okay gonna come around saw fuck shit still got minute worried rotation oh gonna hop try come window nice cap cancel damn fuck aim ping sunset shoot cap gonna walk planting oh let go tell saved life oh got,400,0.5575
BiGOW-oHgjc,tip number three know basic policy information remember first day job manager handed little policy booklet collapsed like yeah imagine others well never ever ever get life worth insurance field little intimidating well guess time dust little booklet give read purpose reading booklet let say memorize material booklet goal familiarize material need basic understanding policy need master need able refer certain section time permit especially working denial denial document time hand mean feel free read like book gotta let guy know purpose master memorize material get basic understanding look around successful people always people got straight finish text quickest even excelled training course however people grasp material usually get applying one often successful like let guy know newsletter definitely go website bottom page sign get information like information pertains insurance world,131,0.6870229007633588
